account,amount,symbol
adysscheryl,"0,02",ALIVEM
ironshield,"0,322",ALIVEM
bradleyarrow,"0,049",ALIVEM
manuvert,"0,018",ALIVEM
mario89,"0,003",ALIVEM
chapelle,"0,086",ALIVEM
stdd,"0,058",ALIVEM
ana-maria,"0,018",ALIVEM
yeckingo1,"0,075",ALIVEM
vocup,"0,013",ALIVEM
caelum1infernum,"0,016",ALIVEM
imfarhad,"0,001",ALIVEM
alzee,"0,041",ALIVEM
darmst5339,"0,02",ALIVEM
jacoalberts,"0,013",ALIVEM
noctury,"0,065",ALIVEM
hoosie,"0,012",ALIVEM
edgerik,"0,089",ALIVEM
karizma,"0,005",ALIVEM
gurseerat,"0,18",ALIVEM
davidxxl,"0,001",ALIVEM
engilhramn,"0,004",ALIVEM
mypathtofire,"0,126",ALIVEM
heartbeatonhive,"0,003",ALIVEM
master-lamps,"0,007",ALIVEM
bearmol,"0,002",ALIVEM
myjob,"0,022",ALIVEM
littlebee4,"0,018",ALIVEM
jmis101,"0,001",ALIVEM
oasiskp2,"0,003",ALIVEM
alovely088,"0,001",ALIVEM
awah,"0,02",ALIVEM
palomap3,"0,012",ALIVEM
assassyn,"0,005",ALIVEM
neoxvoter,"0,002",ALIVEM
steem-holder,"0,001",ALIVEM
apoloo1,"0,002",ALIVEM
liotes.alive,"0,009",ALIVEM
heruvim1978,"0,005",ALIVEM
sammyhive,"0,099",ALIVEM
ijelady,"0,044",ALIVEM
tengolotodo,"0,005",ALIVEM
hivecurious,"0,047",ALIVEM
tydynrain,"0,079",ALIVEM
