account,amount,symbol
adysscheryl,"0,035",ALIVEM
ironshield,"0,175",ALIVEM
bradleyarrow,"0,027",ALIVEM
manuvert,"0,057",ALIVEM
mario89,"0,002",ALIVEM
chapelle,"0,024",ALIVEM
captainloken,"0,011",ALIVEM
stdd,"0,02",ALIVEM
ana-maria,"0,014",ALIVEM
yeckingo1,"0,04",ALIVEM
vocup,"0,011",ALIVEM
caelum1infernum,"0,018",ALIVEM
imfarhad,"0,001",ALIVEM
darmst5339,"0,018",ALIVEM
jacoalberts,"0,001",ALIVEM
noctury,"0,071",ALIVEM
hoosie,"0,02",ALIVEM
edgerik,"0,098",ALIVEM
visual.alive,"0,061",ALIVEM
karizma,"0,049",ALIVEM
benthomaswwd,"0,048",ALIVEM
davidxxl,"0,001",ALIVEM
engilhramn,"0,005",ALIVEM
mypathtofire,"0,016",ALIVEM
chaosmagic23,"0,012",ALIVEM
thoth442,"0,025",ALIVEM
bechibenner,"0,245",ALIVEM
rcaine,"0,083",ALIVEM
kam5iz,"0,029",ALIVEM
heartbeatonhive,"0,075",ALIVEM
old-man-chu58,"0,014",ALIVEM
beeber,"0,005",ALIVEM
merthin,"0,104",ALIVEM
