account,amount,symbol
adysscheryl,"0,001",ALIVEM
ironshield,"0,098",ALIVEM
bradleyarrow,"0,022",ALIVEM
manuvert,"0,036",ALIVEM
mario89,"0,001",ALIVEM
chapelle,"0,039",ALIVEM
stdd,"0,025",ALIVEM
ana-maria,"0,007",ALIVEM
yeckingo1,"0,013",ALIVEM
vocup,"0,002",ALIVEM
caelum1infernum,"0,003",ALIVEM
imfarhad,"0,075",ALIVEM
darmst5339,"0,007",ALIVEM
jacoalberts,"0,006",ALIVEM
noctury,"0,015",ALIVEM
hoosie,"0,005",ALIVEM
edgerik,"0,048",ALIVEM
benthomaswwd,"0,094",ALIVEM
engilhramn,"0,004",ALIVEM
mypathtofire,"0,06",ALIVEM
thoth442,"0,002",ALIVEM
kam5iz,"0,019",ALIVEM
heartbeatonhive,"0,096",ALIVEM
master-lamps,"0,046",ALIVEM
bearmol,"0,002",ALIVEM
myjob,"0,009",ALIVEM
littlebee4,"0,012",ALIVEM
jmis101,"0,03",ALIVEM
oasiskp2,"0,001",ALIVEM
alovely088,"0,001",ALIVEM
awah,"0,008",ALIVEM
palomap3,"0,004",ALIVEM
assassyn,"0,001",ALIVEM
liotes.alive,"0,004",ALIVEM
heruvim1978,"0,001",ALIVEM
ijelady,"0,021",ALIVEM
tengolotodo,"0,006",ALIVEM
melinda010100,"0,002",ALIVEM
hivecurious,"0,016",ALIVEM
tydynrain,"0,029",ALIVEM
kaseldz,"0,003",ALIVEM
pedrobrito2004,"0,008",ALIVEM
cursephantom,"0,01",ALIVEM
herculeand,"0,018",ALIVEM
