account,amount,symbol
adysscheryl,"0,021",ALIVEM
ironshield,"0,125",ALIVEM
bradleyarrow,"0,139",ALIVEM
manuvert,"0,046",ALIVEM
mario89,"0,003",ALIVEM
chapelle,"0,015",ALIVEM
stdd,"0,051",ALIVEM
yeckingo1,"0,026",ALIVEM
vocup,"0,028",ALIVEM
caelum1infernum,"0,023",ALIVEM
imfarhad,"0,065",ALIVEM
darmst5339,"0,02",ALIVEM
jacoalberts,"0,021",ALIVEM
noctury,"0,065",ALIVEM
hoosie,"0,008",ALIVEM
edgerik,"0,129",ALIVEM
benthomaswwd,"0,041",ALIVEM
davidxxl,"0,076",ALIVEM
engilhramn,"0,011",ALIVEM
mypathtofire,"0,129",ALIVEM
chaosmagic23,"0,042",ALIVEM
thoth442,"0,024",ALIVEM
kam5iz,"0,042",ALIVEM
heartbeatonhive,"0,002",ALIVEM
tokutaro22,"0,002",ALIVEM
bearmol,"0,002",ALIVEM
littlebee4,"0,027",ALIVEM
jmis101,"0,044",ALIVEM
oasiskp2,"0,053",ALIVEM
alovely088,"0,001",ALIVEM
awah,"0,023",ALIVEM
siddhartaz,"0,008",ALIVEM
palomap3,"0,006",ALIVEM
olujose6,"0,025",ALIVEM
assassyn,"0,008",ALIVEM
neoxvoter,"0,14",ALIVEM
