flaxz.alive,"0,903",ALIVEM
jlufer,"0,669",ALIVEM
iamraincrystal,"0,086",ALIVEM
hive-112281,"0,346",ALIVEM
imfarhad,"0,083",ALIVEM
myupvote2u,"0,017",ALIVEM
alokkumar121,"0,134",ALIVEM
mypathtofire,"0,167",ALIVEM
benthomaswwd,"0,167",ALIVEM
buezor,"0,007",ALIVEM
davidthompson57,"0,168",ALIVEM
adysscheryl,"0,073",ALIVEM
ironshield,"0,167",ALIVEM
manuvert,"0,05",ALIVEM
bambukah,"0,01",ALIVEM
noctury,"0,143",ALIVEM
darmst5339,"0,1",ALIVEM
heartbeatonhive,"0,017",ALIVEM
tydynrain,"0,043",ALIVEM
elizabetamt,"0,003",ALIVEM
stevermac1966,"0,001",ALIVEM
ana-maria,"0,013",ALIVEM
bradleyarrow,"0,669",ALIVEM
caelum1infernum,"0,001",ALIVEM
alzee,"0,007",ALIVEM
chaosmagic23,"0,033",ALIVEM
lightcaptured,"0,056",ALIVEM
hoosie,"0,074",ALIVEM
chmoen,"0,008",ALIVEM
beststart,"0,033",ALIVEM
vocup,"0,017",ALIVEM
bfciv,"0,001",ALIVEM
engilhramn,"0,003",ALIVEM
gondek,"0,02",ALIVEM
captainloken,"0,013",ALIVEM
moretea,"0,027",ALIVEM
palomap3,"0,005",ALIVEM
keechadkikali,"0,01",ALIVEM
mario89,"0,01",ALIVEM
karizma,"0,003",ALIVEM
kevinnag58,"0,002",ALIVEM
thoth442,"0,033",ALIVEM
pedrobrito2004,"0,05",ALIVEM
eyewaa,"0,004",ALIVEM
hankanon,"0,1",ALIVEM
synergized,"0,003",ALIVEM
kam5iz,"0,01",ALIVEM
metzli,"0,009",ALIVEM
fiberfrau,"0,006",ALIVEM
leemah1,"0,015",ALIVEM
evernoticethat,"0,006",ALIVEM
madame-cyntaia,"0,012",ALIVEM
brando28,"0,002",ALIVEM
oasiskp2,"0,002",ALIVEM
beeber,"0,002",ALIVEM
