account,amount,symbol
adysscheryl,"0,068",ALIVEM
ironshield,"0,306",ALIVEM
bradleyarrow,"0,587",ALIVEM
manuvert,"0,133",ALIVEM
mario89,"0,013",ALIVEM
chapelle,"0,614",ALIVEM
stdd,"0,24",ALIVEM
ana-maria,"0,062",ALIVEM
yeckingo1,"0,006",ALIVEM
vocup,"0,041",ALIVEM
caelum1infernum,"0,143",ALIVEM
imfarhad,"0,008",ALIVEM
darmst5339,"0,207",ALIVEM
jacoalberts,"0,036",ALIVEM
noctury,"0,256",ALIVEM
hoosie,"0,052",ALIVEM
edgerik,"0,001",ALIVEM
karizma,"0,05",ALIVEM
benthomaswwd,"0,418",ALIVEM
gurseerat,"0,69",ALIVEM
davidxxl,"0,006",ALIVEM
engilhramn,"0,049",ALIVEM
mypathtofire,"0,604",ALIVEM
voltz-blag,"0,002",ALIVEM
kam5iz,"0,001",ALIVEM
heartbeatonhive,"0,019",ALIVEM
merthin,"0,241",ALIVEM
master-lamps,"0,001",ALIVEM
tokutaro22,"0,001",ALIVEM
bearmol,"0,022",ALIVEM
myjob,"0,107",ALIVEM
littlebee4,"0,088",ALIVEM
jmis101,"0,626",ALIVEM
oasiskp2,"0,499",ALIVEM
alovely088,"0,01",ALIVEM
awah,"0,106",ALIVEM
palomap3,"0,062",ALIVEM
olujose6,"0,001",ALIVEM
assassyn,"0,021",ALIVEM
neoxvoter,"0,013",ALIVEM
steem-holder,"0,054",ALIVEM
cryptopsycho21,"0,001",ALIVEM
liotes.alive,"0,02",ALIVEM
heruvim1978,"0,035",ALIVEM
sammyhive,"0,141",ALIVEM
ijelady,"0,154",ALIVEM
hafiz34,"0,872",ALIVEM
tengolotodo,"0,367",ALIVEM
melinda010100,"0,093",ALIVEM
hivecurious,"0,286",ALIVEM
tydynrain,"0,316",ALIVEM
