account,amount,symbol
adysscheryl,"0,016",ALIVEM
ironshield,"0,044",ALIVEM
bradleyarrow,"0,098",ALIVEM
manuvert,"0,028",ALIVEM
mario89,"0,002",ALIVEM
chapelle,"0,024",ALIVEM
stdd,"0,053",ALIVEM
ana-maria,"0,031",ALIVEM
yeckingo1,"0,029",ALIVEM
vocup,"0,039",ALIVEM
caelum1infernum,"0,021",ALIVEM
imfarhad,"0,071",ALIVEM
alzee,"0,052",ALIVEM
darmst5339,"0,032",ALIVEM
noctury,"0,057",ALIVEM
hoosie,"0,004",ALIVEM
edgerik,"0,112",ALIVEM
karizma,"0,006",ALIVEM
benthomaswwd,"0,039",ALIVEM
davidxxl,"0,086",ALIVEM
engilhramn,"0,008",ALIVEM
mypathtofire,"0,055",ALIVEM
bechibenner,"0,003",ALIVEM
kam5iz,"0,008",ALIVEM
heartbeatonhive,"0,002",ALIVEM
bearmol,"0,002",ALIVEM
myjob,"0,063",ALIVEM
littlebee4,"0,015",ALIVEM
jmis101,"0,052",ALIVEM
oasiskp2,"0,039",ALIVEM
alovely088,"0,001",ALIVEM
awah,"0,017",ALIVEM
siddhartaz,"0,145",ALIVEM
palomap3,"0,002",ALIVEM
olujose6,"0,032",ALIVEM
assassyn,"0,003",ALIVEM
neoxvoter,"0,05",ALIVEM
steem-holder,"0,02",ALIVEM
apoloo1,"0,001",ALIVEM
treefrognada,"0,011",ALIVEM
