account,amount,symbol
adysscheryl,"0,026",ALIVEM
ironshield,"0,098",ALIVEM
bradleyarrow,"0,001",ALIVEM
manuvert,"0,034",ALIVEM
mario89,"0,003",ALIVEM
chapelle,"0,013",ALIVEM
captainloken,"0,005",ALIVEM
stdd,"0,04",ALIVEM
yeckingo1,"0,008",ALIVEM
vocup,"0,049",ALIVEM
caelum1infernum,"0,015",ALIVEM
imfarhad,"0,087",ALIVEM
alzee,"0,01",ALIVEM
darmst5339,"0,017",ALIVEM
jacoalberts,"0,007",ALIVEM
noctury,"0,071",ALIVEM
hoosie,"0,005",ALIVEM
edgerik,"0,003",ALIVEM
visual.alive,"0,002",ALIVEM
karizma,"0,014",ALIVEM
benthomaswwd,"0,086",ALIVEM
gurseerat,"0,181",ALIVEM
davidxxl,"0,062",ALIVEM
engilhramn,"0,005",ALIVEM
mypathtofire,"0,084",ALIVEM
thoth442,"0,003",ALIVEM
bechibenner,"0,004",ALIVEM
oscarps,"0,341",ALIVEM
heartbeatonhive,"0,003",ALIVEM
old-man-chu58,"0,007",ALIVEM
bearmol,"0,005",ALIVEM
littlebee4,"0,018",ALIVEM
jmis101,"0,033",ALIVEM
oasiskp2,"0,049",ALIVEM
alovely088,"0,001",ALIVEM
awah,"0,026",ALIVEM
siddhartaz,"0,078",ALIVEM
palomap3,"0,003",ALIVEM
