account,amount,symbol
adysscheryl,"0,036",ALIVEM
ironshield,"0,097",ALIVEM
bradleyarrow,"0,029",ALIVEM
manuvert,"0,042",ALIVEM
mario89,"0,003",ALIVEM
chapelle,"0,01",ALIVEM
captainloken,"0,05",ALIVEM
stdd,"0,014",ALIVEM
yeckingo1,"0,006",ALIVEM
vocup,"0,317",ALIVEM
caelum1infernum,"0,013",ALIVEM
imfarhad,"0,063",ALIVEM
alzee,"0,005",ALIVEM
darmst5339,"0,011",ALIVEM
jacoalberts,"0,008",ALIVEM
noctury,"0,034",ALIVEM
hoosie,"0,003",ALIVEM
edgerik,"0,047",ALIVEM
karizma,"0,008",ALIVEM
benthomaswwd,"0,038",ALIVEM
gurseerat,"0,042",ALIVEM
davidxxl,"0,036",ALIVEM
engilhramn,"0,008",ALIVEM
mypathtofire,"0,003",ALIVEM
chaosmagic23,"0,005",ALIVEM
thoth442,"0,011",ALIVEM
bechibenner,"0,003",ALIVEM
rcaine,"0,036",ALIVEM
kam5iz,"0,038",ALIVEM
heartbeatonhive,"0,032",ALIVEM
tokutaro22,"0,002",ALIVEM
bearmol,"0,001",ALIVEM
myjob,"0,075",ALIVEM
elizabetamt,"0,051",ALIVEM
