account,amount,symbol
adysscheryl,"0,012",ALIVEM
ironshield,"0,118",ALIVEM
bradleyarrow,"0,057",ALIVEM
manuvert,"0,023",ALIVEM
mario89,"0,001",ALIVEM
chapelle,"0,011",ALIVEM
captainloken,"0,004",ALIVEM
stdd,"0,028",ALIVEM
yeckingo1,"0,009",ALIVEM
vocup,"0,064",ALIVEM
caelum1infernum,"0,007",ALIVEM
imfarhad,"0,043",ALIVEM
alzee,"0,007",ALIVEM
darmst5339,"0,013",ALIVEM
jacoalberts,"0,008",ALIVEM
noctury,"0,044",ALIVEM
hoosie,"0,006",ALIVEM
edgerik,"0,044",ALIVEM
karizma,"0,012",ALIVEM
benthomaswwd,"0,171",ALIVEM
gurseerat,"0,143",ALIVEM
davidxxl,"0,026",ALIVEM
engilhramn,"0,006",ALIVEM
mypathtofire,"0,264",ALIVEM
heartbeatonhive,"0,062",ALIVEM
old-man-chu58,"0,008",ALIVEM
tokutaro22,"0,012",ALIVEM
bearmol,"0,002",ALIVEM
myjob,"0,022",ALIVEM
